country,쇼핑,식도락 관광,자연경관 감상,역사 유적지,"학술 대회, 박람회",전통문화체험,놀이공원,민속 행사,박물관
일본,73.9890118,78.01669324,18.71591463,15.96342371,17.10555071,4.649861678,1.851537361,7.622182372,3.420151394
중국,76.31950217,76.67475329,42.419813,13.61809463,5.792510523,4.948991409,7.64354158,7.87477753,3.889779649
홍콩,75.5446259,64.06560838,41.77504401,21.15122191,7.488970043,11.47454594,9.871476607,6.940244938,8.809952067
대만,69.51255752,60.11547782,38.69912353,27.50088183,5.399960628,17.23241894,13.71562074,11.55537409,6.133613579
태국,77.58361141,18.43263938,46.07094489,37.88549603,3.920545763,15.85847275,20.49994631,9.263217488,10.1081778
말레이시아,64.99282989,31.85958963,57.98106402,40.00180522,5.221196026,17.53132659,18.2214516,8.117314826,12.12403599
미국,38.35780299,22.20446101,43.79940704,48.48703915,28.15004412,14.75203095,4.465755499,9.073644998,18.09825549
러시아,58.17617741,39.60991298,42.41468615,31.09632254,21.44298759,6.943515298,12.44742466,3.413811931,12.8699947
필리핀,62.27140906,26.72185549,45.77979025,49.12496646,8.300557586,21.1177946,23.77910379,7.667472046,13.31628531
베트남,60.91775475,53.6304954,48.03213099,33.8843026,7.916353531,16.5873034,13.59486266,6.602063511,14.77366109
