country,쇼핑,식도락,자연 풍경 감상,친구,역사.유적지,패션.트렌드,휴식,케이팝
일본,68.48276364,69.41769744,17.04480253,14.97962432,9.914998031,11.97161336,6.74961726,16.60625336
중국,76.16145768,59.09402418,38.53888214,21.86052436,9.595174142,16.93932429,5.852022145,5.279493999
홍콩,72.00965751,75.18291253,49.66043996,7.859148397,9.808186222,10.09765939,15.47261825,7.51745101
대만,65.4181022,68.88793984,45.45560439,7.379366631,13.92031994,18.6112369,11.66321829,9.69704858
태국,69.79073699,53.29211709,43.16852435,15.86766838,13.99236223,9.718139477,15.52890563,12.21049574
말레이시아,54.24146764,45.4956991,58.56011091,9.380529687,21.81358214,9.294975563,24.76922491,13.05832553
미국,19.88097716,30.88393024,29.91838113,59.15153028,31.93187375,3.274981128,33.89397875,5.361467303
러시아,38.12541847,37.68041972,38.43220254,29.15637972,27.1960455,8.73179577,8.247200664,6.688769333
필리핀,49.18209527,44.275581,50.68216063,13.85128472,25.51945213,10.77002749,33.54356103,15.79284107
베트남,57.88329759,51.6144775,51.57642949,14.35396887,27.33866582,13.29619514,6.768430072,5.850720364
