country,여가,사업,연수,etc
일본,79.23988588,18.15011078,2.09634163,0.51366171
중국,83.70041481,12.54709179,3.44282438,0.30966902
홍콩,89.73710708,9.039632871,1.223260053,-4.00E-09
대만,89.47467069,8.67273322,1.644247716,0.208348374
태국,89.49667909,6.980424042,3.133684231,0.389212637
말레이시아,87.79860399,8.165642939,3.837089863,0.198663208
미국,58.97460913,36.51596824,3.253255942,1.256166688
러시아,69.89825957,25.65288207,3.337349057,1.111509303
필리핀,83.33991998,12.67592418,3.055210623,0.928945217
베트남,82.82982405,13.07765276,3.447484794,0.645038396
