country,visitors,continent
일본,2948527,아시아
대만,1115333,아시아
홍콩,683818,아시아
마카오,52831,아시아
태국,558912,아시아
말레이시아,382929,아시아
필리핀,460168,아시아
인도네시아,249067,아시아
싱가포르,231897,아시아
브루나이,4876,아시아
미얀마,71094,아시아
라오스,11924,아시아
베트남,457818,아시아
티모르,1038,아시아
인도,119791,아시아
스리랑카,17901,아시아
파키스탄,14188,아시아
네팔,25926,아시아
방글라데시,16151,아시아
아프가니스탄,721,아시아
캄보디아,33395,아시아
부탄,510,아시아
몰디브,233,아시아
몽골,113864,아시아
시킴,0,아시아
중국,4789512,아시아
북한,0,아시아
마요테,0,아시아
영령인도양섬,0,아시아
국제연합,1310,아시아
(아시아기타),0,아시아
이란,6627,중동
사우디아라비아,11553,중동
이스라엘,15328,중동
요르단,2693,중동
레바논,1023,중동
쿠웨이트,2695,중동
시리아,1553,중동
터키,29558,중동
예멘공화국,1138,중동
예멘인민민주주의공화국,0,중동
카타르,1855,중동
아랍에미리트연합,11427,중동
오만,1085,중동
이라크,2811,중동
바레인,764,중동
키프로스,889,중동
팔레스타인,329,중동
우즈베키스탄,82984,중동
카자흐스탄,52859,중동
키르기스스탄,7305,중동
투르크메니스탄,376,중동
타지키스탄,2863,중동
중동 기타,0,중동
미국,967992,미국
캐나다,194259,미국
멕시코,25192,미국
니카라과,332,미국
온두라스,1312,미국
도미니카연방,175,미국
엘살바도르,966,미국
아이티,159,미국
트리니다드토바고,319,미국
과테말라,1003,미국
자메이카,1104,미국
바베이도스,151,미국
세인트빈센트 그레나딘,70,미국
바하마,131,미국
버뮤다,0,미국
벨리즈,41,미국
세인트루시아,65,미국
푸에르토리코,0,미국
쿠바,187,미국
앤티가바부다,98,미국
파나마,937,미국
코스타리카,1241,미국
도미니카공화국,1033,미국
터크스케이커스,0,미국
영령 버진아일랜드,3,미국
네덜란드령 앤틸리스,0,미국
케이만아일랜드,0,미국
앵귈라,0,미국
세인트키츠네비스,258,미국
아루바,0,미국
미령아모르,0,미국
상피에르 미클롱,0,미국
브라질,19745,미국
콜롬비아,5876,미국
아르헨티나,4832,미국
우루과이,373,미국
파라과이,530,미국
칠레,5149,미국
베네수엘라,1961,미국
볼리비아,670,미국
가이아나,95,미국
페루,4140,미국
에콰도르,2229,미국
수리남,64,미국
불령 가이아나,0,미국
그레나다,99,미국
몬서래트,0,미국
팔랜드군도,0,미국
과들루프,0,미국
이스터제도,0,미국
포클랜드,0,미국
미령 버진아일랜드,0,미국
마르티니크,0,미국
세인트크리스토퍼 네비스,0,미국
부베트,0,미국
남조지아 남샌드위치 군도,1,미국
미국 인근섬,0,미국
영국,130977,유럽
독일,115789,유럽
동독,0,유럽
프랑스,100096,유럽
네덜란드,37134,유럽
스웨덴,19503,유럽
스위스,18103,유럽
이탈리아,46546,유럽
덴마크,12044,유럽
노르웨이,13615,유럽
벨기에,12499,유럽
오스트리아,12635,유럽
스페인,27314,유럽
그리스,9290,유럽
포르투갈,10794,유럽
핀란드,14372,유럽
아일랜드,8723,유럽
룩셈부르크,774,유럽
바티칸,6,유럽
몰타,425,유럽
아이슬란드,601,유럽
리히텐슈타인,82,유럽
산마리노,30,유럽
스발바르,0,유럽
페로섬,0,유럽
안도라,67,유럽
모나코,57,유럽
지브롤터,0,유럽
리투아니아,2490,유럽
라트비아,2357,유럽
에스토니아,1375,유럽
유고슬라비아,442,유럽
슬로베니아,1941,유럽
크로아티아,6083,유럽
보스니아-헤르체코비나,181,유럽
마케도니아,39,유럽
세르비아 앤 몬테네그로,4,유럽
몬테네그로,1832,유럽
세르비아,3375,유럽
코소보,60,유럽
루마니아,11372,유럽
체코,10759,유럽
슬로바크,3463,유럽
불가리아,6079,유럽
폴란드,21971,유럽
헝가리,4754,유럽
알바니아,469,유럽
러시아,302542,유럽
우크라이나,25608,유럽
벨로루시,1872,유럽
몰도바,342,유럽
아르메니아,305,유럽
아제르바이잔,1028,유럽
그루지아,1066,유럽
그린랜드,0,유럽
영국외지인,334,유럽
기타영국,1,유럽
구주기타,0,유럽
오스트레일리아,153133,오세아니아
뉴질랜드,34205,오세아니아
피지,3116,오세아니아
파푸아뉴기니,271,오세아니아
나우루,40,오세아니아
미크로네시아,242,오세아니아
사모아,233,오세아니아
괌,0,오세아니아
투발루,313,오세아니아
키리바시,871,오세아니아
통가,142,오세아니아
팔라우,333,오세아니아
호주령 솔로몬군도,0,오세아니아
미령사모아,0,오세아니아
비누아투,263,오세아니아
마리아나 군도,0,오세아니아
뉴칼레도니아,0,오세아니아
마샬군도,91,오세아니아
솔로몬군도,178,오세아니아
불령 폴리네시아,0,오세아니아
쿡아일랜드,0,오세아니아
캐롤라인 군도,0,오세아니아
크리스마스,0,오세아니아
웨이크아일랜드,0,오세아니아
미드웨이군도,0,오세아니아
코코스군도,0,오세아니아
니우에,0,오세아니아
핏캐른,0,오세아니아
토켈라우,0,오세아니아
대양주 기타,0,오세아니아
나이지리아,2555,아프리카
이집트,7630,아프리카
남수단공화국,50,아프리카
남아프리카 공화국,11795,아프리카
튀니지,1780,아프리카
리비아,2787,아프리카
가나,3063,아프리카
모로코,4284,아프리카
수단,962,아프리카
에티오피아,4280,아프리카
모리셔스,1086,아프리카
잠비아,321,아프리카
우간다,798,아프리카
탄자니아,1100,아프리카
케냐,1910,아프리카
라이베리아,530,아프리카
가봉,133,아프리카
말리,203,아프리카
소말리아,45,아프리카
알제리,1253,아프리카
기니비사우,32,아프리카
말라위,160,아프리카
코트디부아르,478,아프리카
세네갈,635,아프리카
자이르,0,아프리카
짐바브웨,460,아프리카
카메룬,935,아프리카
스와질랜드,119,아프리카
오트볼타,0,아프리카
콩고,65,아프리카
콩고 민주공화국,626,아프리카
마다가스카르,689,아프리카
말라가시,0,아프리카
부룬디,156,아프리카
모리타니,44,아프리카
레소토,47,아프리카
시에라리온,71,아프리카
기니,205,아프리카
니제르,43,아프리카
앙골라,261,아프리카
차드,36,아프리카
적도기니,54,아프리카
중앙 아프리카 공화국,33,아프리카
지부티,23,아프리카
세이셸,67,아프리카
보츠와나,261,아프리카
나미비아,140,아프리카
카보베르데,35,아프리카
감비아,208,아프리카
토고,193,아프리카
카나리아 군도,0,아프리카
르완다,478,아프리카
코모로,51,아프리카
상투메 프린시페,11,아프리카
모잠비크,267,아프리카
베냉,132,아프리카
서사하라,0,아프리카
부르키나파소,113,아프리카
세인트 헬레나,0,아프리카
레위니옹,0,아프리카
에리트리아,26,아프리카
아프리카 기타,0,아프리카
